"","productID","tableName","tableDesc","tableType","tableTMI"
"1","DP1.10022.001","bet_archivepooling","Pitfall samples pooled by NEON technicians","site-date","0"
"2","DP1.00098.001","RH_1min","Relative Humidity averaged over 1 minute","site-date","1"
"3","DP1.00098.001","RH_30min","Relative Humidity averaged over 30 minutes","site-date","30"
"4","DP1.00004.001","BP_30min","Barometric Pressure averaged over 30 minutes","site-date","30"
"5","DP1.00040.001","SHF_1min","The amount of thermal energy moving by conduction across an area of soil averaged over 1 minute","site-date","1"
"6","DP1.10055.001","phe_perindividual","Geolocation and taxonomic identification for phenology plants","site-all","0"
"7","DP1.10055.001","phe_perindividualperyear","Annual census of size and disease status on phenology plants","site-date","0"
"8","DP1.00024.001","PARPAR_1min","Photosynthetically Active Radiation averaged over 1 minute","site-date","1"
"9","DP1.00066.001","PARQL_1min","Photosynthetically active radiation (quantum line) averaged over 1 minute","site-date","1"
"10","DP1.10055.001","phe_statusintensity","Plant phenophase status and intensity data","site-date","0"
"11","DP1.10058.001","div_1m2Data","Plant species identifications and cover, and cover of abiotic variables within 1 square meter subplots","site-date","0"
"12","DP1.10058.001","div_10m2Data100m2Data","Plant species identifications within 10 square meter and 100 square meter subplots","site-date","0"
"13","DP1.10058.001","div_voucher","Voucher specimens","site-all","0"
"14","DP1.20190.001","rea_plateauSampleFieldData","Field data collected at plateau per sample","site-date","0"
"15","DP1.20138.001","amc_cellCounts","Aquatic cell counts laboratory data","site-date","0"
"16","DP1.10058.001","div_geneticarchive","Genetic archive samples","site-all","0"
"17","DP1.00024.001","PARPAR_30min","Photosynthetically Active Radiation averaged over 30 minutes","site-date","30"
"18","DP1.10041.001","mos_pathogenpooling","Mosquito pathogen pool size information from external labs","site-date","0"
"19","DP1.20100.001","ais_maintenanceGroundwater","Information related to groundwater sensor and infrastructure maintenance","site-date","0"
"20","DP1.20190.001","rea_externalLabDataSalt","Reaeration external lab salt data","site-date","0"
"21","DP1.00040.001","SHF_30min","The amount of thermal energy moving by conduction across an area of soil averaged over 30 minutes","site-date","30"
"22","DP1.20282.001","mmg_swRawDataFiles","Raw sequence data files for microbial marker gene sequencing from surface water samples","site-date","0"
"23","DP1.10033.001","ltr_fielddata","Field collection details and sample tracking","site-date","0"
"24","DP1.20033.001","ais_maintenance","Information related to aquatic sensor and infrastructure maintenance","site-date","0"
"25","DP1.20033.001","ais_sunaCleanAndCal","Record of SUNA cleaning and calibration activities","site-date","0"
"26","DP1.20016.001","ais_maintenance","Information related to aquatic sensor and infrastructure maintenance","site-date","0"
"27","DP1.20100.001","ais_maintenance","Information related to aquatic sensor and infrastructure maintenance","site-date","0"
"28","DP1.20100.001","ais_wellDevelopment","Record of groundwater well development","site-date","0"
"29","DP1.10098.001","vst_perplotperyear","Per plot sampling metadata, including presence/absence of each growthForm","site-date","0"
"30","DP1.20032.001","ais_maintenance","Information related to aquatic sensor and infrastructure maintenance","site-date","0"
"31","DP1.20015.001","ais_maintenance","Information related to aquatic sensor and infrastructure maintenance","site-date","0"
"32","DP1.20015.001","ais_maintenanceGroundwater","Information related to groundwater sensor and infrastructure maintenance","site-date","0"
"33","DP1.10022.001","bet_expertTaxonomistIDProcessed","Ground beetle identifications by expert taxonomists - desynonomized","site-date","0"
"34","DP1.10026.001","cfc_LMA","Leaf mass per area measurement of foliar samples","site-date","0"
"35","DP1.20015.001","ais_wellDevelopment","Record of groundwater well development","site-date","0"
"36","DP1.20261.001","ais_maintenance","Information related to aquatic sensor and infrastructure maintenance","site-date","0"
"37","DP1.20042.001","ais_maintenance","Information related to aquatic sensor and infrastructure maintenance","site-date","0"
"38","DP1.20193.001","sbd_plateauSampleFieldData","Field data collected at plateau per sample for salt-based discharge","site-date","0"
"39","DP1.20288.001","ais_maintenance","Information related to aquatic sensor and infrastructure maintenance","site-date","0"
"40","DP1.20288.001","ais_multisondeCleanCal","Information related to multisonde cleaning and calibration activities","site-date","0"
"41","DP1.10100.001","bgc_CNiso_externalSummary","Long-term uncertainty values for analysis of carbon and nitrogen concentrations and stable isotopes","lab-current","0"
"42","DP1.10108.001","mmg_soilRawDataFiles","Raw sequence data files for microbial marker gene sequencing from soil samples","site-date","0"
"43","DP1.20282.001","mmg_swMarkerGeneSequencing_ITS","Laboratory metadata for microbial ITS marker gene sequencing from surface water samples","site-date","0"
"44","DP1.10098.001","vst_mappingandtagging","Mapping, identifying and tagging of individual stems for remeasurement","site-all","0"
"45","DP1.20107.001","fsh_perPass","Fish sampling field data per pass","site-date","0"
"46","DP1.10067.001","bbc_percore","Field data collected per soil core","site-date","0"
"47","DP1.20217.001","ais_wellDevelopment","Record of groundwater well development","site-date","0"
"48","DP1.20053.001","ais_maintenance","Information related to aquatic sensor and infrastructure maintenance","site-date","0"
"49","DP1.00066.001","PARQL_30min","Photosynthetically active radiation (quantum line) averaged over 30 minutes","site-date","30"
"50","DP1.20107.001","fsh_fieldData","Fish sampling field data per sub-sampling reach","site-date","0"
"51","DP1.20066.001","apl_taxonomyProcessed","Aquatic plant bryophyte lichen macroalgae clip harvest identifications by expert taxonomists - desynonimized","site-date","0"
"52","DP1.10003.001","brd_perpoint","Per point metadata for breeding landbirds","site-date","0"
"53","DP1.10067.001","bbc_rootmass","Lab data collected per soil core","site-date","0"
"54","DP1.20107.001","fsh_perFish","Fish sampling field data per specimen captured","site-date","0"
"55","DP1.20107.001","fsh_bulkCount","Fish sampling field data bulk count","site-date","0"
"56","DP1.10067.001","bbc_dilution","Data collected per root dilution sample","site-date","0"
"57","DP1.20053.001","TSW_5min","Temperature of surface water from PRT summarized over 5 minutes","site-date","5"
"58","DP1.20166.001","alg_archive","Aquatic algae archived subsamples","site-date","0"
"59","DP1.10067.001","bbc_chemistryPooling","Identifiers for subsamples created for chemical analyses or archive","site-date","0"
"60","DP1.20107.001","fsh_morphospecies","Fish morphospecies resolution data","site-all","0"
"61","DP1.10081.001","mcc_taxonTableLabSummary","Summary data on laboratory methods for microbial taxon table results","lab-current","0"
"62","DP1.10033.001","ltr_massdata","Dry mass of litter and fine woody debris components per trap per bout","site-date","0"
"63","DP1.20163.001","alg_domainLabChemistry","Periphyton, seston, and phytoplankton domain lab data for chemistry samples","site-date","0"
"64","DP1.20004.001","ais_maintenance","Information related to aquatic sensor and infrastructure maintenance","site-date","0"
"65","DP1.20059.001","ais_maintenance","Information related to aquatic sensor and infrastructure maintenance","site-date","0"
"66","DP1.20046.001","ais_maintenance","Information related to aquatic sensor and infrastructure maintenance","site-date","0"
"67","DP1.10086.001","sls_soilMoisture","Soil moisture data for microbial and biogeochemical samples","site-date","0"
"68","DP1.20053.001","TSW_30min","Temperature of surface water from PRT summarized over 30 minutes","site-date","30"
"69","DP1.20282.001","mmg_swMarkerGeneSequencing_16S","Laboratory metadata for microbial 16S marker gene sequencing from surface water samples","site-date","0"
"70","DP1.10093.001","tck_taxonomyRaw","Tick identifications by expert taxonomists - raw","site-date","0"
"71","DP1.20217.001","TGW_30_minute","Temperature of groundwater averaged over 30 minutes","site-date","30"
"72","DP1.20086.001","mcc_benthicTaxonTableMetadata_16S","Taxonomic table metadata for benthic microbes from 16S marker gene sequencing analysis","site-date","0"
"73","DP1.20086.001","mcc_taxonTableLabSummary","Summary data on laboratory methods for microbial taxon table results","lab-current","0"
"74","DP1.00004.001","BP_1min","Barometric Pressure averaged over 1 minute","site-date","1"
"75","DP1.00017.001","dpsd_30_minutes","Dust and particulate size distribution median over 30 minutes","site-date","30"
"76","DP1.00017.001","dpsd_60_minutes","Dust and particulate size distribution median over 60 minutes","site-date","60"
"77","DP1.20120.001","inv_fieldData","Aquatic macroinvertebrate field data","site-date","0"
"78","DP1.00023.001","SLRNR_30min","Shortwave and Longwave Radiation averaged over 30 minute","site-date","30"
"79","DP1.20120.001","inv_persample","Aquatic macroinvertebrate habitat data and QC metrics per sample","site-date","0"
"80","DP1.20120.001","inv_taxonomyRaw","Aquatic macroinvertebrate identifications by expert taxonomists - raw","site-date","0"
"81","DP1.20120.001","inv_taxonomyProcessed","Aquatic macroinvertebrate identifications by expert taxonomists - desynonymized","site-date","0"
"82","DP1.00023.001","SLRNR_1min","Shortwave and Longwave Radiation averaged over 1 minute","site-date","1"
"83","DP1.20271.001","ais_maintenance","Information related to aquatic sensor and infrastructure maintenance","site-date","0"
"84","DP1.20015.001","SCGW_5_minute","Specific conductivity in groundwater taken every 5 minutes","site-date","5"
